Lugar ;Equipo ;Vct;Emp;Drt;Dif;Goles;Pts
1;Alemania;0;0;0;0;0;0
2;Arjelia;0;0;0;0;0;0
3;Argentina;0;0;0;0;0;0
4;Australia;0;0;0;0;0;0
5;Belgica;0;0;0;0;0;0
6;Bosnia ;0;0;0;0;0;0
7;Brasil ;0;0;0;0;0;0
8;Camerun;0;0;0;0;0;0
9;Chile  ;0;0;0;0;0;0
10;Colombia;0;0;0;0;0;0
11;Corea_del_Sur;0;0;0;0;0;0
12;C._de_Marfil;0;0;0;0;0;0
13;Costa Rica;0;0;0;0;0;0
14;Croacia;0;0;0;0;0;0
15;Ecuador;0;0;0;0;0;0
16;Espana ;0;0;0;0;0;0
17;Estados_Unidos;0;0;0;0;0;0
18;Francia;0;0;0;0;0;0
19;Ghana  ;0;0;0;0;0;0
20;Grecia ;0;0;0;0;0;0
21;Holanda;0;0;0;0;0;0
22;Honduras;0;0;0;0;0;0
23;Inglaterra;0;0;0;0;0;0
24;Iran.   ;0;0;0;0;0;0
25;Italia ;0;0;0;0;0;0
26;Japon.  ;0;0;0;0;0;0
27;Mexico ;0;0;0;0;0;0
28;Nigeria;0;0;0;0;0;0
29;Portugal;0;0;0;0;0;0
30;Rusia  ;0;0;0;0;0;0
31;Suiza  ;0;0;0;0;0;0
32;Uruguay;0;0;0;0;0;0
